University Name,City,State,Zip,URL,Bachelors,Masters,DNP,Post-Grad
Abilene Christian University,Abilene,TX,zip,"http://www.acu.edu/undergraduate/academics/school-of-nursing.html",1,0,1,0
Adams State University,Alamosa,CO,zip,"http://www.adams.edu/academics/nursing/",1,0,0,0
Adelphi University,Garden City,NY,zip,"http://nursing.adelphi.edu",1,1,1,0
AdventHealth University,Orlando,FL,zip,"http://www.adu.edu/academics/bs-nursing",1,1,0,0
Alfred State College SUNY College of Technology,Alfred,NY,zip,"http://alfredstate.edu",1,0,0,0
Allen College,Waterloo,IA,zip,"http://www.allencollege.edu",1,1,1,1
Alma College,Alma,MI,zip,"http://www.alma.edu/academics/nursing/index.php",1,0,0,0
Alvernia University,Reading,PA,zip,"http://www.alvernia.edu",1,1,1,0
Alverno College,Milwaukee,WI,zip,"http://www.alverno.edu",1,1,1,1
American College of Education,Indianapolis,IN,zip,"https://www.ace.edu/program/master-of-science-in-nursing",1,1,0,0
American International College,Springfield,MA,zip,"http://www.aic.edu",1,1,0,0
American Public University System,Charles Town,WV,zip,"http://www.apu.apus.edu/academic/programs/degree/1440/bachelor-of-science-in-nursing",1,1,0,0
American University of Beirut,New York,NY,zip,"http://www.aub.edu.lb/~webson/",1,1,0,0
American University of Health Sciences,Signal Hill,CA,zip,"http://www.auhs.edu/bsn_information.html",1,1,0,1
Anderson University - IN,Anderson,IN,zip,"http://www.anderson.edu",1,0,0,0
Anderson University - SC,Anderson,SC,zip,"http://www.andersonuniversity.edu/son.aspx?id=6207",1,1,1,1
Angeles College,Los Angeles,CA,zip,"http://www.angelescollege.edu/academics/bsn-completion-rn-to-bsn-bachelor-of-science-in-nursing/",1,0,0,0
Angelo State University,San Angelo,TX,zip,"http://www.angelo.edu/dept/nursing",1,1,0,1
Appalachian State University,Boone,NC,zip,"http://nursing.appstate.edu",1,1,0,0
Arizona College of Nursing,Tempe,AZ,zip,"http://www.arizonacollege.edu/nursing/bachelor-of-science-in-nursing/",1,0,0,0
Arizona State University,Phoenix,AZ,zip,"https://nursingandhealth.asu.edu/",1,1,1,0
Ashland University,Mansfield,OH,zip,"http://www.ashland.edu/nursing/",1,0,1,0
Aspen University,Phoenix,AZ,zip,"http://www.aspen.edu/",1,1,1,0
Atenas College,Manati,PR,zip,"http://atenascollege.edu/ciencias-de-enfermeria/",1,0,0,0
Atlanta VA Health Care System,Decatur,GA,zip,"http://www.atlanta.va.gov",0,0,0,0
Auburn University,Auburn University,AL,zip,"http://www.auburn.edu/academic/nursing/",1,1,1,1
Auburn University at Montgomery,Montgomery,AL,zip,"http://www.aum.edu",1,1,1,0
Augsburg University,Minneapolis,MN,zip,"http://www.augsburg.edu",1,1,1,0
Augusta University,Augusta,GA,zip,"http://www.augusta.edu/nursing/",1,1,1,1
Augustana University,Sioux Falls,SD,zip,"http://www.augie.edu",1,0,0,0
Aultman College of Nursing and Health Sciences,Canton,OH,zip,"https://www.aultmancollege.edu/",1,0,0,0
Aurora University,Aurora,IL,zip,"http://www.aurora.edu/nursing/",1,0,0,0
Austin Peay State University,Clarksville,TN,zip,"http://www.apus.edu/nursing",1,1,0,1
Averett University,Danville,VA,zip,"http://www.averett.edu/academics/undergrad/nursing/index.php",1,1,0,1
Avila University,Kansas City,MO,zip,"http://www.avila.edu/",1,0,0,0
Azusa Pacific University,Azusa,CA,zip,"http://www.apu.edu",1,1,1,1
Baker College,Owosso,MI,zip,"http://www.baker.edu/programs/detail/nursing-bachelor-of-nursing-online/",1,1,0,0
Baker University,Topeka,KS,zip,"http://www.bakeru.edu",1,1,0,0
Baldwin Wallace University,Berea,OH,zip,"http://www.bw.edu/academics/nursing/",1,0,0,0
Ball State University,Muncie,IN,zip,"http://www.bsu.edu/nursing",1,1,1,1
Baptist Health Sciences University,Memphis,TN,zip,"https://www.bchs.edu/nursing",1,0,1,0
