University Name,City,State,Bachelors,Masters,DNP,Post-Grad
Abilene Christian University,Abilene,TX,1,0,1,0
Adams State University,Alamosa,CO,1,0,0,0
Adelphi University,Garden City,NY,1,1,1,0
AdventHealth University,Orlando,FL,1,1,0,0
Alfred State College SUNY College of Technology,Alfred,NY,1,0,0,0
Allen College,Waterloo,IA,1,1,1,1
Alma College,Alma,MI,1,0,0,0
Alvernia University,Reading,PA,1,1,1,0
Alverno College,Milwaukee,WI,1,1,1,1
American College of Education,Indianapolis,IN,1,1,0,0
American International College,Springfield,MA,1,1,0,0
American Public University System,Charles Town,WV,1,1,0,0
American University of Beirut,New York,NY,1,1,0,0
American University of Health Sciences,Signal Hill,CA,1,1,0,1
Anderson University - IN,Anderson,IN,1,0,0,0
Anderson University - SC,Anderson,SC,1,1,1,1
Angeles College,Los Angeles,CA,1,0,0,0
Angelo State University,San Angelo,TX,1,1,0,1
Appalachian State University,Boone,NC,1,1,0,0
Arizona College of Nursing,Tempe,AZ,1,0,0,0
Arizona State University,Phoenix,AZ,1,1,1,0
Ashland University,Mansfield,OH,1,0,1,0
Aspen University,Phoenix,AZ,1,1,1,0
Atenas College,Manati,PR,1,0,0,0
Atlanta VA Health Care System,Decatur,GA,0,0,0,0
Auburn University,Auburn University,AL,1,1,1,1
Auburn University at Montgomery,Montgomery,AL,1,1,1,0
Augsburg University,Minneapolis,MN,1,1,1,0
Augusta University,Augusta,GA,1,1,1,1
Augustana University,Sioux Falls,SD,1,0,0,0
Aultman College of Nursing and Health Sciences,Canton,OH,1,0,0,0
Aurora University,Aurora,IL,1,0,0,0
Austin Peay State University,Clarksville,TN,1,1,0,1
Averett University,Danville,VA,1,1,0,1
Avila University,Kansas City,MO,1,0,0,0
Azusa Pacific University,Azusa,CA,1,1,1,1
Baker College,Owosso,MI,1,1,0,0
Baker University,Topeka,KS,1,1,0,0
Baldwin Wallace University,Berea,OH,1,0,0,0
Ball State University,Muncie,IN,1,1,1,1
Baptist Health Sciences University,Memphis,TN,1,0,1,0
Barnes-Jewish College,St. Louis,MO,1,1,1,1
Barry University,Miami Shores,FL,1,1,1,1
Barton College,Wilson,NC,1,1,0,0
Bay Path University,East Longmeadow,MA,1,0,1,0
Bay State College,Boston,MA,1,0,0,0
Baylor University,Dallas,TX,1,0,1,0
Beckfield College,Florence,KY,1,0,0,0
Belhaven University,Jackson,MS,1,0,0,0
Bellarmine University,Louisville,KY,1,1,1,1
Bellevue College,Bellevue,WA,1,0,0,0
Bellevue University,Bellevue,NE,1,0,0,0
Bellin College,Green Bay,WI,1,1,0,1
Belmont University,Nashville,TN,1,1,1,1
Belmont University,Nashville,TN,0,0,0,0
Belmont University/Trevecca Nazarene University Consortium,Nashville,TN,1,0,0,0
Bemidji State University,Bemidji,MN,1,0,0,0
Benedictine College,Atchison,KS,1,0,0,0
Benedictine University,Lisle,IL,1,1,0,0
Berea College,Berea,KY,1,0,0,0
Berry College,Mount Berry,GA,1,0,0,0
Bethany Lutheran College,Mankato,MN,1,0,0,0
Bethel College,North Newton,KS,1,0,0,0
Bethel University-Minnesota,Saint Paul,MN,1,1,1,0
Bethel University-Tennessee,McKenzie,TN,1,0,0,0
Binghamton University,Johnson City,NY,1,1,1,1
Biola University,La Mirada,CA,1,0,0,0
Birmingham VA Medical Center,Quincy,IL,1,1,0,0
Bloomfield College,Bloomfield,NJ,1,0,0,0
Bloomsburg University of Pennsylvania,Bloomsburg,PA,1,1,1,0
Bluefield State College,Bluefield,WV,1,0,0,0
Bluefield University,Bluefield,VA,1,1,0,1
Bluffton University,Bluffton,OH,1,0,0,0
Bob Jones University,Greenville,SC,1,0,0,0
Boise State University,Boise,ID,1,1,1,0
Boise VA Medical Center,Richmond,VA,1,0,0,0
Boston College,Chestnut Hill,MA,1,1,1,0
Bowling Green State University,Bowling Green,OH,1,0,0,0
Bowling Green State University,Bowling Green,OH,0,0,0,0
Bradley University,Peoria,IL,1,1,1,1
Brenau University,Gainesville,GA,1,1,1,1
Briar Cliff University,Sioux City,IA,1,1,1,1
Brigham Young University,Provo,UT,1,1,0,0
Brigham Young University-Idaho,Rexburg,ID,1,0,0,0
Brookline College,Phoenix,AZ,1,0,0,0
Broward College,Miramar,FL,1,0,0,0
Bryant & Stratton College-Online Education,Orchard Park,NY,1,0,0,0
Bryant & Stratton College-Parma,Parma,OH,1,0,0,0
Bryant & Stratton College-Wauwatosa,Wauwatosa,WI,1,0,0,0
Bushnell University,Eugene,OR,1,1,0,0
Cabarrus College of Health Sciences,Concord,NC,1,1,0,0
Caldwell University,Caldwell,NJ,1,0,0,0
California Baptist University,Riverside,CA,1,1,1,1
California Southern University,Chandler,AZ,1,1,0,0
"California State University, Bakersfield",Bakersfield,CA,1,1,0,0
"California State University, Channel Islands",Camarillo,CA,1,1,0,1
"California State University, Chico",Chico,CA,1,1,0,0
"California State University, Dominguez Hills",Carson,CA,1,1,0,1
"California State University, East Bay",Hayward,CA,1,1,0,0
"California State University, Fresno",Fresno,CA,1,1,1,1
"California State University, Fullerton",Fullerton,CA,1,1,0,0
"California State University, Fullerton",Fullerton,CA,0,0,0,0
"California State University, Long Beach",Long Beach,CA,1,1,0,1
"California State University, Long Beach",Long Beach,CA,0,0,0,0
"California State University, Los Angeles",Los Angeles,CA,1,1,0,1
